state_name,year,total_requirement_mu,total_availability_mu,total_deficit_mu,total_gen_mu,avg_capacity_mw,total_renew_gen_mu,total_solar_gen_mu,total_wind_gen_mu,total_other_gen_mu,avg_coal_stock_days,avg_normative_coal_stock_days,avg_req_normative_coal_stock_tonnes,avg_import_coal_stock_tonnes,avg_indigenous_coal_stock_tonnes,avg_coal_plf_prcnt,avg_actual_vs_norm_coal_stock_prcnt,total_coal_consumption_tonnes,total_coal_receipt_tonnes,total_coal_requirement_tonnes,avg_actual_coal_stock_tonnes,total_coal_stock_critical_incidents,yearly_avg_total_outage_mw,yearly_avg_fresh_outage_mw,total_energy_lost_mwh,total_fresh_incidents,avg_total_capacity_mw,avg_thermal_capacity_mw,avg_nuclear_capacity__mw,avg_hydro_capacity__mw,avg_res_capacity_mw,coal_reserves_mt,coal_production_mt,coal_consumption_power_mt,total_coal_import_mt,avg_import_priceRs,total_amountCr
mizoram,2017,,,,25.46,37.75,,,,,,,,,,,,,,,,,30.0,30.0,5040.0,4.0,101.67,0.0,41.67,0.0,60.0,,,,195.33,9115.735294117645,105676.64000000001
jammu and kashmir,2021,,,,17134.50999999999,321.36363636363643,31.22,7.79,0.0,23.43,,,,,,,,,,,,,695.5001600102406,695.5001600102406,6090480.0,132.0,3750.8441666666663,175.0,199.88166666666666,280.0,3095.9625,27.55,0.01,,217.75,10392.014583333335,120533.86
ladakh,2021,,,,401.82000000000005,44.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,28.410759088581667,28.410759088581667,248208.0,24.0,96.90666666666668,0.0,3.953333333333333,7.416666666666667,85.53666666666668,,,,217.75,10392.014583333335,120533.86
sikkim,2017,,,,3115.300000000001,300.83928571428567,,,,,,,,,,,,,,,,,213.67745535714283,213.67745535714283,362028.0,29.0,2221.12,0.0,52.12,0.0,2169.0,101.23,,,195.33,9115.735294117645,105676.64000000001
mizoram,2025,,,,12.989999999999998,60.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,,,,,,,,,,,
jharkhand,2019,,,,26111.37999999999,240.0,0.0,0.0,0.0,0.0,26.04800340042276,20.0,0.0,0.9014766001024066,175.7470791382751,59.71561037982328,,0.0,0.0,14404.059999999994,176.64856169075847,2.0,996.657738095238,58.97311827956989,8626200.0,309.0,4841.940833333334,4590.0,41.94083333333333,0.0,210.0,84505.96,134.67,35.79,240.31999999999994,13575.234848484848,183025.28999999995
west bengal,2019,,,,75694.12000000004,243.39514678030318,0.0,0.0,0.0,0.0,13.590132275132275,20.0,0.0,0.22487189793480114,94.3126299709848,54.55755388291521,,0.0,0.0,53692.96999999998,94.53750372077144,12.0,4246.870554915514,428.53648553507423,36879888.0,1406.0,16218.6025,14385.0,492.4025,0.0,1341.2000000000003,31694.07,33.14,50.690000000000005,240.31999999999994,13575.234848484848,183025.28999999995
andhra pradesh,2018,,,,63767.22,337.0912102772657,,,,,5.950268817204301,22.5,0.0,10.89301747311828,69.0938373655914,49.20172043010753,,0.0,0.0,3302.419999999999,79.98685483870969,39.0,4947.751481054789,1710.521898361495,43400169.60000002,725.0,24562.306666666667,16407.200000000004,6966.7733333333335,0.0,1188.3333333333333,1580.7,0.0,33.650000000000006,212.82999999999998,11956.519459459461,147641.1
sikkim,2024,,,,1915.3500000000004,285.25,0.0,0.0,0.0,0.0,,,,,,,,,,,,,587.7241085774317,587.7241085774317,4879440.0,96.0,2343.798888888889,0.0,0.0,2282.0,61.79888888888888,,,,,,
chhatisgarh,2017,,,,34233.89999999997,281.22368421052636,,,,,,,,,,,,,,,,,7606.485215053764,484.65586763070075,21935640.0,439.0,,,,,,,,,195.33,9115.735294117645,105676.64000000001
