state_name,join_date,energy_requirement,energy_availability,deficit_mu,deficit_pct,total_gen_actual_mu,total_gen_program_mu,avg_monitored_cap_mw,total_renew_gen_mu,total_solar_gen_mu,total_wind_gen_mu,total_other_gen_mu,cap_coal_mw,cap_gas_mw,cap_diesel_mw,cap_lignite_mw,cap_nuclear_mw,cap_hydro_mw,cap_res_mw,total_thermal_mw,total_capacity_mw,avg_total_outage_mw,avg_fresh_outage_mw,total_energy_lost_mwh,total_incidents_count,fresh_incidents_count,avg_coal_stock_days,avg_coal_normative_stock_days,avg_req_normative_coal_stock_tonnes,avg_actual_coal_stock_tonnes,avg_indigenous_coal_stock_tonnes,avg_import_coal_stock_tonnes,avg_coal_plf_prcnt,avg_actual_vs_norm_coal_stock_prcnt,total_coal_consumption_tonnes,total_coal_receipt_tonnes,total_coal_requirement_tonnes,coal_stock_critical_incidents,year,month_num,month_start_date
rajasthan,2025-03-01,,,,,6263.290000000001,6430.439999999998,248.62798203592806,0.0,,,,,,,,,,,,,3205.7977419354847,3205.7977419354847,2385113.5200000005,54.0,54.0,,26.0,353.87777777777774,248.0185185185185,245.46296296296296,2.5555555555555554,45.851851851851855,63.629629629629626,315.70000000000005,365.5,367.4699999999999,3.0,2025,3,2025-03-01
madhya pradesh,2024-05-01,,,,,14059.18,13967.359999999991,403.9166666666667,1112.5700000000002,591.67,472.39999999999986,48.50000000000001,22000.0,0.0,0.0,0.0,0.0,2235.0,7166.55,22000.0,31401.55,2390.6451612903224,751.4516129032259,1778640.0,97.0,91.0,,24.2,427.56066666666686,290.6974193548387,290.3006451612903,0.396,0.7898064516129032,0.7963010752688171,8557.490000000002,8711.720000000001,8807.409999999998,65.0,2024,5,2024-05-01
assam,2017-12-01,,,,,627.7,443.3000000000001,140.44500000000005,0.0,,,,500.0,603.95,0.0,0.0,45.22,0.0,325.0,1103.95,1474.17,73.99032258064516,41.73225806451613,55048.799999999996,13.0,10.0,,,,,,,,,,,,,2017,12,2017-12-01
uttarakhand,2024-09-01,,,,,2373.34,1886.1800000000005,195.80625,13.99,13.99,0.0,0.0,0.0,664.0,0.0,0.0,0.0,4035.35,1006.95,664.0,5706.3,277.76500000000004,277.76500000000004,199990.80000000002,24.0,24.0,,,,,,,,,,,,,2024,9,2024-09-01
punjab,2018-04-01,,,,,2001.1599999999999,2710.2,286.9000000000001,0.0,,,,6540.0,0.0,0.0,0.0,1282.4199999999998,0.0,1206.3,6540.0,9028.72,3562.7833333333333,468.45,2565204.0,39.0,25.0,,,,,,,,,,,,,2018,4,2018-04-01
uttarakhand,2019-01-01,,,,,902.9300000000001,854.0500000000002,200.30238095238093,0.0,,,,0.0,450.0,0.0,0.0,590.5,0.0,3756.35,450.0,4796.85,533.0822580645159,533.0822580645159,396613.1999999999,21.0,21.0,,,,,,,,,,,,,2019,1,2019-01-01
tripura,2024-03-01,,,,,466.59999999999997,657.51,213.51999999999998,0.33,0.33,0.0,0.0,0.0,1067.6,0.0,0.0,0.0,0.0,34.47,1067.6,1102.07,65.76129032258065,65.76129032258065,48926.399999999994,5.0,5.0,,,,,,,,,,,,,2024,3,2024-03-01
goa,2024-03-01,,,,,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,45.47,48.0,93.47,48.0,48.0,35712.0,1.0,1.0,,,,,,,,,,,,,2024,3,2024-03-01
assam,2019-11-01,,,,,655.85,639.3900000000001,171.92099999999994,0.0,0.0,0.0,0.0,750.0,643.7,0.0,0.0,75.34,0.0,350.0,1393.7,1819.04,345.4103333333333,337.077,248695.44,11.0,11.0,28.066666666666666,20.0,0.0,184.184,184.184,0.0,52.50066666666669,,0.0,0.0,198.74,0.0,2019,11,2019-11-01
manipur,2017-09-01,,,,,71.01,67.56999999999998,70.5,0.0,,,,,,,,,,,,,0.0,,,2.0,2.0,,,,,,,,,,,,,2017,9,2017-09-01
